code,location,start_date,end_date,no2,period
34-1,Turnhoutsebaan DE West,2021-01-29 11:32:00+01:00,2021-02-27 12:35:00+01:00,40,2
34-2,Turnhoutsebaan DE West,2021-01-29 11:32:00+01:00,2021-02-27 12:35:00+01:00,39,2
34-3,Turnhoutsebaan DE Oost,2021-01-29 11:37:00+01:00,2021-02-27 12:45:00+01:00,35,2
34-4,Turnhoutsebaan DE Oost,2021-01-29 11:37:00+01:00,2021-02-27 12:45:00+01:00,34,2
34-5,Turnhoutsebaan BO West,2021-01-29 15:25:00+01:00,2021-02-26 15:28:00+01:00,37,2
34-6,Turnhoutsebaan BO West,2021-01-29 15:25:00+01:00,2021-02-26 15:28:00+01:00,38,2
34-7,Turnhoutsebaan BO Oost,2021-01-29 15:35:00+01:00,2021-02-26 15:58:00+01:00,33,2
34-8,Turnhoutsebaan BO Oost,2021-01-29 15:35:00+01:00,2021-02-26 15:58:00+01:00,36,2
34-9,Deurnsebaan Zuid,2021-01-29 14:22:00+01:00,2021-02-26 09:16:00+01:00,38,2
34-10,Deurnsebaan Zuid,2021-01-29 14:22:00+01:00,2021-02-26 09:16:00+01:00,40,2
34-11,Deurnsebaan Noord,2021-01-29 14:28:00+01:00,2021-02-26 09:18:00+01:00,43,2
34-12,Deurnsebaan Noord,2021-01-29 14:28:00+01:00,2021-02-26 09:18:00+01:00,46,2
34-13,Van de Perre Noord,2021-01-29 11:15:00+01:00,2021-02-26 17:49:00+01:00,32,2
34-14,Van de Perre Noord,2021-01-29 11:15:00+01:00,2021-02-26 17:48:00+01:00,32,2
34-15,Van de Perre Zuid,2021-01-29 11:07:00+01:00,2021-02-26 17:40:00+01:00,34,2
34-16,Van de Perre Zuid,2021-01-29 11:07:00+01:00,2021-02-26 17:42:00+01:00,34,2
34-19,VMM Belgiëlei,2021-01-29 13:48:00+01:00,2021-02-26 20:01:00+01:00,29,2
34-20,VMM Belgiëlei,2021-01-29 13:48:00+01:00,2021-02-26 20:01:00+01:00,30,2
34-21,Provinciestraat Zuid,2021-01-29 14:26:00+01:00,2021-02-26 20:28:00+01:00,36,2
34-22,Provinciestraat Zuid,2021-01-29 14:26:00+01:00,2021-02-26 20:28:00+01:00,35,2
34-23,Provinciestraat Noord,2021-01-29 14:12:00+01:00,2021-02-26 20:17:00+01:00,35,2
34-24,Provinciestraat Noord,2021-01-29 14:12:00+01:00,2021-02-26 20:17:00+01:00,36,2
34-25,Gijselstraat,2021-01-29 21:08:00+01:00,2021-02-28 11:50:00+01:00,32,2
34-26,Gijselstraat,2021-01-29 21:08:00+01:00,2021-02-28 11:50:00+01:00,32,2
34-27,Klappeistraat,2021-01-30 11:48:00+01:00,2021-02-28 12:18:00+01:00,27,2
34-28,Klappeistraat,2021-01-30 11:48:00+01:00,2021-02-28 12:18:00+01:00,27,2
34-29,Pothoekstraat Noord,2021-01-30 13:01:00+01:00,2021-02-28 12:02:00+01:00,40,2
34-30,Pothoekstraat Noord,2021-01-30 13:01:00+01:00,2021-02-28 12:02:00+01:00,39,2
34-31,Pothoekstraat Zuid,2021-01-30 11:54:00+01:00,2021-02-28 12:14:00+01:00,39,2
34-32,Pothoekstraat Zuid,2021-01-30 11:54:00+01:00,2021-02-28 12:14:00+01:00,38,2
34-33,Borsbeekstraat Noord,2021-01-29 21:05:00+01:00,2021-02-28 11:45:00+01:00,34,2
34-34,Borsbeekstraat Noord,2021-01-29 21:05:00+01:00,2021-02-28 11:45:00+01:00,34,2
34-35,Borsbeekstraat Zuid,2021-01-29 21:02:00+01:00,2021-02-28 11:42:00+01:00,35,2
34-36,Borsbeekstraat Zuid,2021-01-29 21:02:00+01:00,2021-02-28 11:42:00+01:00,34,2
34-37,VMM Groenenborger,2021-01-29 18:42:00+01:00,2021-02-26 13:41:00+01:00,21,2
34-38,Cassiersstraat Oost,2021-01-29 13:08:00+01:00,2021-02-27 11:50:00+01:00,35,2
34-39,VMM Groenenborger,2021-01-29 18:42:00+01:00,2021-02-26 13:41:00+01:00,21,2
34-40,Sint-Bernardsesteenweg,2021-01-29 19:00:00+01:00,2021-02-26 21:15:00+01:00,33,2
34-41,Sint-Bernardsesteenweg,2021-01-29 19:00:00+01:00,2021-02-26 21:15:00+01:00,32,2
34-42,Abdijstraat,2021-01-29 19:07:00+01:00,2021-02-26 21:20:00+01:00,31,2
34-43,Abdijstraat,2021-01-29 19:07:00+01:00,2021-02-26 21:20:00+01:00,30,2
34-44,Cassiersstraat Oost,2021-01-29 13:08:00+01:00,2021-02-27 11:50:00+01:00,36,2
34-45,Cassiersstraat West,2021-01-29 13:12:00+01:00,2021-02-27 11:56:00+01:00,43,2
34-46,Cassiersstraat West,2021-01-29 13:12:00+01:00,2021-02-27 11:56:00+01:00,43,2
34-47,Nationalestraat Zuid,2021-01-29 12:09:00+01:00,2021-02-26 13:30:00+01:00,33,2
34-48,Nationalestraat Zuid,2021-01-29 12:09:00+01:00,2021-02-26 13:30:00+01:00,33,2
34-49,Nationalestraat Noord,2021-01-29 12:28:00+01:00,2021-02-26 13:40:00+01:00,33,2
34-50,Nationalestraat Noord,2021-01-29 12:28:00+01:00,2021-02-26 13:40:00+01:00,33,2
35-1,Deurnsebaan Zuid,2021-02-26 09:18:00+01:00,2021-03-29 08:56:00+02:00,41,3
35-2,Deurnsebaan Zuid,2021-02-26 09:18:00+01:00,2021-03-29 08:55:00+02:00,43,3
35-3,Deurnsebaan Noord,2021-02-26 09:16:00+01:00,2021-03-29 09:05:00+02:00,42,3
35-4,Deurnsebaan Noord,2021-02-26 09:16:00+01:00,2021-03-29 09:06:00+02:00,41,3
35-5,Van de Perre Zuid,2021-02-26 17:41:00+01:00,2021-03-26 17:10:00+01:00,37,3
35-6,Van de Perre Zuid,2021-02-26 17:43:00+01:00,2021-03-26 17:06:00+01:00,36,3
35-7,Van de Perre Noord,2021-02-26 17:50:00+01:00,2021-03-26 17:15:00+01:00,38,3
35-8,Van de Perre Noord,2021-02-26 17:49:00+01:00,2021-03-26 17:13:00+01:00,40,3
35-9,Turnhoutsebaan BO West,2021-02-26 15:28:00+01:00,2021-03-28 12:50:00+02:00,40,3
35-10,Turnhoutsebaan BO West,2021-02-26 15:28:00+01:00,2021-03-28 12:50:00+02:00,41,3
35-11,Turnhoutsebaan BO Oost,2021-02-26 15:58:00+01:00,2021-03-28 12:42:00+02:00,41,3
35-12,Turnhoutsebaan BO Oost,2021-02-26 15:58:00+01:00,2021-03-28 12:42:00+02:00,42,3
35-13,Turnhoutsebaan DE West,2021-02-27 12:35:00+01:00,2021-03-27 11:37:00+01:00,41,3
35-14,Turnhoutsebaan DE West,2021-02-27 12:35:00+01:00,2021-03-27 11:37:00+01:00,41,3
35-15,Turnhoutsebaan DE Oost,2021-02-27 12:45:00+01:00,2021-03-27 11:41:00+01:00,38,3
35-16,Turnhoutsebaan DE Oost,2021-02-27 12:45:00+01:00,2021-03-27 11:41:00+01:00,34,3
35-17,Provinciestraat Noord,2021-02-26 20:28:00+01:00,2021-03-26 16:02:00+01:00,34,3
35-18,Provinciestraat Noord,2021-02-26 20:28:00+01:00,2021-03-26 16:02:00+01:00,35,3
35-19,VMM Belgiëlei,2021-02-26 20:01:00+01:00,2021-03-26 15:43:00+01:00,34,3
35-20,VMM Belgiëlei,2021-02-26 20:01:00+01:00,2021-03-26 15:43:00+01:00,33,3
35-21,Provinciestraat Zuid,2021-02-26 20:17:00+01:00,2021-03-26 15:55:00+01:00,37,3
35-22,Provinciestraat Zuid,2021-02-26 20:17:00+01:00,2021-03-26 15:55:00+01:00,36,3
35-23,Pothoekstraat Noord,2021-02-28 12:02:00+01:00,2021-03-27 09:03:00+01:00,45,3
35-24,Pothoekstraat Noord,2021-02-28 12:02:00+01:00,2021-03-27 09:03:00+01:00,46,3
35-25,Pothoekstraat Zuid,2021-02-28 12:14:00+01:00,2021-03-27 09:08:00+01:00,38,3
35-26,Pothoekstraat Zuid,2021-02-28 12:14:00+01:00,2021-03-27 09:08:00+01:00,37,3
35-27,Borsbeekstraat Zuid,2021-02-28 11:42:00+01:00,2021-03-27 08:43:00+01:00,32,3
35-28,Borsbeekstraat Zuid,2021-02-28 11:42:00+01:00,2021-03-27 08:43:00+01:00,34,3
35-29,Borsbeekstraat Noord,2021-02-28 11:45:00+01:00,2021-03-27 08:38:00+01:00,35,3
35-30,Borsbeekstraat Noord,2021-02-28 11:45:00+01:00,2021-03-27 08:38:00+01:00,36,3
35-31,Gijselstraat,2021-02-28 11:50:00+01:00,2021-03-27 08:46:00+01:00,33,3
35-32,Gijselstraat,2021-02-28 11:50:00+01:00,2021-03-27 08:46:00+01:00,31,3
35-33,Klappeistraat,2021-02-28 12:18:00+01:00,2021-03-27 09:16:00+01:00,27,3
35-34,Klappeistraat,2021-02-28 12:18:00+01:00,2021-03-27 09:16:00+01:00,26,3
35-35,Sint-Bernardsesteenweg,2021-02-26 21:15:00+01:00,2021-03-27 21:03:00+01:00,37,3
35-36,Sint-Bernardsesteenweg,2021-02-26 21:15:00+01:00,2021-03-27 21:03:00+01:00,37,3
35-37,Abdijstraat,2021-02-26 21:20:00+01:00,2021-03-27 21:09:00+01:00,34,3
35-38,Abdijstraat,2021-02-26 21:20:00+01:00,2021-03-27 21:09:00+01:00,34,3
35-39,Nationalestraat Zuid,2021-02-26 13:30:00+01:00,2021-03-26 15:34:00+01:00,35,3
35-40,Nationalestraat Zuid,2021-02-26 13:30:00+01:00,2021-03-26 15:34:00+01:00,36,3
35-41,Nationalestraat Noord,2021-02-26 13:40:00+01:00,2021-03-26 15:40:00+01:00,32,3
35-42,Nationalestraat Noord,2021-02-26 13:40:00+01:00,2021-03-26 15:40:00+01:00,33,3
35-43,Cassiersstraat Oost,2021-02-27 11:50:00+01:00,2021-03-26 12:27:00+01:00,33,3
35-44,Cassiersstraat Oost,2021-02-27 11:50:00+01:00,2021-03-26 12:27:00+01:00,34,3
