code,location,start_date,end_date,no2,period,no2_reference,missing
34-37,VMM Groenenborger,2021-01-29 18:42:00+01:00,2021-02-26 13:41:00+01:00,21,2,24.241910631741142,2.6986506746626686
34-39,VMM Groenenborger,2021-01-29 18:42:00+01:00,2021-02-26 13:41:00+01:00,21,2,24.241910631741142,2.6986506746626686
34-19,VMM Belgiëlei,2021-01-29 13:48:00+01:00,2021-02-26 20:01:00+01:00,29,2,31.017345399698343,2.3564064801178204
34-20,VMM Belgiëlei,2021-01-29 13:48:00+01:00,2021-02-26 20:01:00+01:00,30,2,31.017345399698343,2.3564064801178204
35-47,VMM Groenenborger,2021-02-26 13:41:00+01:00,2021-03-27 12:55:00+01:00,23,3,27.132978723404257,18.848920863309353
35-48,VMM Groenenborger,2021-02-26 13:41:00+01:00,2021-03-27 12:55:00+01:00,24,3,27.132978723404257,18.848920863309353
35-19,VMM Belgiëlei,2021-02-26 20:01:00+01:00,2021-03-26 15:43:00+01:00,34,3,33.08141321044547,2.39880059970015
35-20,VMM Belgiëlei,2021-02-26 20:01:00+01:00,2021-03-26 15:43:00+01:00,33,3,33.08141321044547,2.39880059970015
36-47,VMM Groenenborger,2021-03-27 12:55:00+01:00,2021-04-23 12:03:00+02:00,22,4,24.77476038338658,3.2457496136012365
36-48,VMM Groenenborger,2021-03-27 12:55:00+01:00,2021-04-23 12:03:00+02:00,22,4,24.77476038338658,3.2457496136012365
36-19,VMM Belgiëlei,2021-03-26 15:43:00+01:00,2021-04-24 14:33:00+02:00,29,4,30.273598820058996,2.3054755043227666
36-20,VMM Belgiëlei,2021-03-26 15:43:00+01:00,2021-04-24 14:33:00+02:00,27,4,30.273598820058996,2.3054755043227666
142-47,VMM Groenenborger,2021-04-23 12:03:00+02:00,2021-05-22 10:32:00+02:00,16,5,16.834315169366715,2.161383285302594
142-48,VMM Groenenborger,2021-04-23 12:03:00+02:00,2021-05-22 10:32:00+02:00,16,5,16.834315169366715,2.161383285302594
142-19,VMM Belgiëlei,2021-04-24 14:33:00+02:00,2021-05-22 16:13:00+02:00,25,5,22.898928024502297,3.115727002967359
142-20,VMM Belgiëlei,2021-04-24 14:33:00+02:00,2021-05-22 16:13:00+02:00,25,5,22.898928024502297,3.115727002967359
143-47,VMM Groenenborger,2021-05-22 10:32:00+02:00,2021-06-20 18:34:00+02:00,15,6,18.00367107195301,3.2670454545454546
143-48,VMM Groenenborger,2021-05-22 10:32:00+02:00,2021-06-20 18:34:00+02:00,14,6,18.00367107195301,3.2670454545454546
143-18,VMM Belgiëlei,2021-05-22 16:13:00+02:00,2021-06-19 17:11:00+02:00,20,6,24.107692307692307,13.075780089153048
143-20,VMM Belgiëlei,2021-05-22 16:13:00+02:00,2021-06-19 17:11:00+02:00,21,6,24.107692307692307,13.075780089153048
144-47,VMM Groenenborger,2021-06-20 18:34:00+02:00,2021-07-16 16:30:00+02:00,17,7,16.26829268292683,34.08360128617363
144-48,VMM Groenenborger,2021-06-20 18:34:00+02:00,2021-07-16 16:30:00+02:00,17,7,16.26829268292683,34.08360128617363
144-19,VMM Belgiëlei,2021-06-19 17:11:00+02:00,2021-07-17 15:35:00+02:00,25,7,23.996147919876734,3.134328358208955
144-20,VMM Belgiëlei,2021-06-19 17:11:00+02:00,2021-07-17 15:35:00+02:00,25,7,23.996147919876734,3.134328358208955
251_47,VMM Groenenborger,2021-07-16 16:30:00+02:00,2021-08-13 10:50:00+02:00,13,8,13.583916083916083,14.114114114114114
251_48,VMM Groenenborger,2021-07-16 16:30:00+02:00,2021-08-13 10:50:00+02:00,13,8,13.583916083916083,14.114114114114114
251_19,VMM Belgiëlei,2021-07-17 15:35:00+02:00,2021-08-14 11:36:00+02:00,20,8,18.22119815668203,2.5449101796407185
